No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
25,Lifecycle,Use aboutToAppear for initialization,aboutToAppear runs before first render,aboutToAppear for setup,Logic in constructor,aboutToAppear() { this.load(); },Constructor logic,High,
26,Lifecycle,Use aboutToDisappear for cleanup,aboutToDisappear cleans up resources,aboutToDisappear for cleanup,No cleanup,aboutToDisappear() { this.cancel(); },Memory leak,High,
27,Lifecycle,Do NOT chain lifecycle on NavDestination,NavDestination does not support aboutToAppear,Define lifecycle as methods,Chain on NavDestination(),aboutToAppear() {},NavDestination().aboutToAppear(),High,
28,Lifecycle,Use onPageShow/onPageHide for page lifecycle,Page-level lifecycle for visibility,onPageShow for analytics,aboutToAppear for page events,onPageShow() { track(); },aboutToAppear for tracking,Medium,
29,Lifecycle,Avoid side effects in build(),build() is called frequently,Pure UI in build(),API calls in build(),build() { Column() },build() { fetch(); },High,
30,Lifecycle,Use @Watch for reactive logic,@Watch triggers on state change,@Watch for reactions,Manual logic in build(),@Watch('query') search(),if (query) search() in build,Medium,
31,Navigation,Use typed route parameters,Type-safe navigation avoids runtime errors,Explicit types for params,any/unknown for params,params: NavParams,params: any,High,
32,Navigation,Use NavPathStack for navigation,NavPathStack manages nav state,NavPathStack for routing,Manual route management,this.stack.pushPath('detail' data),Manual state,High,
33,Navigation,Define routes with @Builder,@Builder for nav destinations,@Builder for each route,Inline route UI,@Builder DetailPage(data: Data) {},Inline UI,Medium,
34,Navigation,Avoid deep navigation stacks,Deep stacks hurt memory and UX,Keep stack shallow,10+ levels,3-level stack,Deep nav stack,Medium,
35,Navigation,Use onBackPressed for custom back,Handle back button explicitly,onBackPressed for custom,Ignore back button,onBackPressed() { save(); },No back handler,Low,
36,Performance,Avoid heavy computation in build(),build() must be fast,Precompute before render,Compute in build(),Precomputed value,Inline computation,High,
37,Performance,Use @Reusable for frequently rendered items,@Reusable caches component,@Reusable for list items,No cache,@Reusable struct ListItem {},No optimization,Medium,
38,Performance,Lazy-load images with Image component,Image handles async loading,Use Image component,Custom async load,Image(this.url),Manual fetch+render,Medium,
39,Performance,Avoid re-creating objects in build(),Object creation in build() causes jank,Create objects outside,Objects in build(),Private field,Inline object in build,Medium,
40,Performance,Use ForEach with stable keys,Keys prevent unnecessary re-renders,keyGenerator: item => item.id,No key,ForEach with key,ForEach without key,High,
41,Accessibility,Set accessibilityText for interactive elements,Screen readers need text,accessibilityText for all,No accessibility,.accessibilityText('Submit'),.No accessibility,High,
42,Accessibility,Use focusable(true) for TV navigation,TV apps require explicit focus,focusable(true) for controls,No focus handling,Button().focusable(true),Button without focusable,High,
43,Accessibility,Set focusOnTouch(true) for touch devices,Touch devices need focus on tap,focusOnTouch(true) for inputs,No touch focus,TextInput().focusOnTouch(true),No touch focus,Medium,
44,Accessibility,Provide semantic roles,Semantic roles improve accessibility,Use correct semantics,Generic components,.accessibilityGroup(true),.No semantic role,Medium,
45,ArkTS Guardrails,Never use any or unknown,Explicit types required by ArkTS,Explicit types,any or unknown,value: string,value: any,High,
46,ArkTS Guardrails,catch must be untyped,catch clause cannot have type annotation,catch (e) only,catch (e: Error),catch (e) { },catch (e: Error) { },High,
47,ArkTS Guardrails,Use explicit types for object literals,Object literals need type annotation,Declare typed variable first,Inline object literal,const x: Type = {}; return x;,return { a: 1 };,High,
48,ArkTS Guardrails,throw only Error or subclass,throw must use Error type,throw new Error(),throw string,throw new Error('Failed'),throw 'error',High,
